Args got
indir None
outdir /home/ec2-user/ThermoDrift/experiments/trainv5/
Data loaded
ESM1b loaded
Classifier, optimizer, and criterion compiled
Using device cuda:0
Moved tensors to cuda:0
Dataloaders built
Number of parameters classifier:  172419
outputs [[0.3371915817260742, 0.3209228813648224, 0.3418855369091034]]  lables [2]
outputs [[0.3421825170516968, 0.31746765971183777, 0.34034988284111023]]  lables [1]
outputs [[0.33207017183303833, 0.32860785722732544, 0.33932194113731384]]  lables [1]
outputs [[0.3427678346633911, 0.3158046007156372, 0.3414275646209717]]  lables [0]
outputs [[0.3472193479537964, 0.32522040605545044, 0.3275602161884308]]  lables [2]
outputs [[0.3424898386001587, 0.32017242908477783, 0.33733776211738586]]  lables [1]
outputs [[0.34190675616264343, 0.32062187790870667, 0.3374713361263275]]  lables [2]
outputs [[0.3389810025691986, 0.313534677028656, 0.3474843502044678]]  lables [0]
outputs [[0.3342842161655426, 0.32562926411628723, 0.34008654952049255]]  lables [0]
outputs [[0.3345637917518616, 0.3184119760990143, 0.34702417254447937]]  lables [2]
outputs [[0.34252816438674927, 0.3156152665615082, 0.34185656905174255]]  lables [2]
outputs [[0.3425324261188507, 0.30027157068252563, 0.35719600319862366]]  lables [2]
outputs [[0.33653631806373596, 0.3211529850959778, 0.3423106372356415]]  lables [1]
outputs [[0.33752676844596863, 0.3232889175415039, 0.33918431401252747]]  lables [2]
outputs [[0.33887356519699097, 0.3140098750591278, 0.3471165895462036]]  lables [2]
outputs [[0.3343093991279602, 0.326782763004303, 0.3389078974723816]]  lables [2]
outputs [[0.3418801724910736, 0.32336661219596863, 0.3347531855106354]]  lables [2]
outputs [[0.3466164469718933, 0.31473568081855774, 0.33864790201187134]]  lables [2]
outputs [[0.33926767110824585, 0.31733396649360657, 0.3433983325958252]]  lables [2]
outputs [[0.33913713693618774, 0.32111918926239014, 0.3397436738014221]]  lables [0]
outputs [[0.336675763130188, 0.3177407681941986, 0.3455834686756134]]  lables [1]
outputs [[0.3420531749725342, 0.3167295753955841, 0.3412173092365265]]  lables [2]
outputs [[0.3399128317832947, 0.3176983594894409, 0.34238874912261963]]  lables [2]
outputs [[0.33865320682525635, 0.3061502277851105, 0.3551965653896332]]  lables [1]
outputs [[0.3394373655319214, 0.3081783950328827, 0.3523842394351959]]  lables [2]
outputs [[0.3428169786930084, 0.3288132846355438, 0.32836973667144775]]  lables [1]
outputs [[0.33707571029663086, 0.31354761123657227, 0.3493766784667969]]  lables [2]
outputs [[0.34081876277923584, 0.33568111062049866, 0.3235000669956207]]  lables [2]
outputs [[0.3331236243247986, 0.311129093170166, 0.3557472825050354]]  lables [0]
outputs [[0.3389631509780884, 0.3180238902568817, 0.3430129587650299]]  lables [2]
outputs [[0.3377746045589447, 0.3252314031124115, 0.3369939625263214]]  lables [2]
outputs [[0.33457985520362854, 0.3250255882740021, 0.3403945863246918]]  lables [2]
outputs [[0.34822535514831543, 0.31257057189941406, 0.33920401334762573]]  lables [2]
outputs [[0.3341168463230133, 0.3152686655521393, 0.350614458322525]]  lables [0]
outputs [[0.34737610816955566, 0.3193817138671875, 0.33324217796325684]]  lables [0]
outputs [[0.3458675146102905, 0.32882246375083923, 0.32530999183654785]]  lables [0]
outputs [[0.3503783345222473, 0.3183688819408417, 0.3312528133392334]]  lables [0]
outputs [[0.34916120767593384, 0.32648423314094543, 0.32435452938079834]]  lables [0]
outputs [[0.3406614363193512, 0.3243407607078552, 0.3349977731704712]]  lables [2]
outputs [[0.3506903052330017, 0.3124118149280548, 0.33689790964126587]]  lables [2]
Train - epoch: 0 batch: 36 loss: 1.0951727628707886
outputs [[0.33166253566741943, 0.3341062366962433, 0.33423128724098206]]  lables [2]
outputs [[0.338997483253479, 0.31218576431274414, 0.34881672263145447]]  lables [2]
outputs [[0.33947423100471497, 0.31690889596939087, 0.34361687302589417]]  lables [2]
outputs [[0.344325453042984, 0.31789064407348633, 0.33778393268585205]]  lables [0]
outputs [[0.34687137603759766, 0.32115811109542847, 0.3319704830646515]]  lables [1]
outputs [[0.3460533320903778, 0.31098473072052, 0.34296196699142456]]  lables [0]
outputs [[0.34736543893814087, 0.3243783414363861, 0.328256219625473]]  lables [0]
outputs [[0.33843734860420227, 0.31939375400543213, 0.34216880798339844]]  lables [1]
outputs [[0.33255860209465027, 0.3156973719596863, 0.3517439663410187]]  lables [2]
outputs [[0.34849807620048523, 0.31820806860923767, 0.3332938253879547]]  lables [0]
outputs [[0.3375803828239441, 0.3116590082645416, 0.3507605791091919]]  lables [2]
outputs [[0.34863966703414917, 0.3054714798927307, 0.3458888530731201]]  lables [0]
outputs [[0.3454895317554474, 0.31611910462379456, 0.33839136362075806]]  lables [1]
outputs [[0.343258798122406, 0.3088330030441284, 0.3479081988334656]]  lables [0]
outputs [[0.34351712465286255, 0.30871862173080444, 0.347764253616333]]  lables [1]
outputs [[0.33568137884140015, 0.31494569778442383, 0.349372923374176]]  lables [2]
outputs [[0.3441346287727356, 0.3030719459056854, 0.3527933657169342]]  lables [2]
outputs [[0.3468455970287323, 0.31933268904685974, 0.33382168412208557]]  lables [0]
outputs [[0.3463711440563202, 0.3155786395072937, 0.3380502164363861]]  lables [1]
outputs [[0.346013605594635, 0.3188161253929138, 0.33517026901245117]]  lables [1]
outputs [[0.34071919322013855, 0.32089221477508545, 0.3383886218070984]]  lables [2]
outputs [[0.3437482416629791, 0.3231014013290405, 0.33315038681030273]]  lables [0]
outputs [[0.3379676043987274, 0.3161877691745758, 0.34584468603134155]]  lables [1]
outputs [[0.3342832028865814, 0.3201430141925812, 0.345573753118515]]  lables [1]
outputs [[0.33927443623542786, 0.3261127471923828, 0.33461275696754456]]  lables [0]
outputs [[0.3384018838405609, 0.3125423491001129, 0.34905579686164856]]  lables [2]
outputs [[0.3446137607097626, 0.31529513001441956, 0.34009113907814026]]  lables [2]
outputs [[0.33880415558815, 0.3221162259578705, 0.33907952904701233]]  lables [2]
outputs [[0.3483576476573944, 0.3166866600513458, 0.33495569229125977]]  lables [2]
outputs [[0.33426517248153687, 0.32315558195114136, 0.342579185962677]]  lables [2]
outputs [[0.34875401854515076, 0.33056578040122986, 0.3206802010536194]]  lables [2]
outputs [[0.3359634578227997, 0.3067670464515686, 0.35726943612098694]]  lables [2]
outputs [[0.34262263774871826, 0.31998443603515625, 0.3373929262161255]]  lables [1]
outputs [[0.34256142377853394, 0.3093153238296509, 0.3481232225894928]]  lables [0]
outputs [[0.3426794409751892, 0.3092653751373291, 0.3480551540851593]]  lables [0]
outputs [[0.345070481300354, 0.3203604817390442, 0.3345690071582794]]  lables [2]
outputs [[0.3436110317707062, 0.32553455233573914, 0.3308543860912323]]  lables [1]
outputs [[0.3430540859699249, 0.31772613525390625, 0.3392198085784912]]  lables [1]
outputs [[0.3451516032218933, 0.30561137199401855, 0.34923702478408813]]  lables [1]
outputs [[0.3309909701347351, 0.3123265504837036, 0.35668253898620605]]  lables [2]
outputs [[0.34332433342933655, 0.32252439856529236, 0.3341512978076935]]  lables [0]
outputs [[0.3363988697528839, 0.30971333384513855, 0.35388779640197754]]  lables [0]
outputs [[0.33639979362487793, 0.3159120976924896, 0.34768807888031006]]  lables [1]
outputs [[0.3430250287055969, 0.3185189366340637, 0.33845606446266174]]  lables [1]
outputs [[0.3416807949542999, 0.30919668078422546, 0.3491225242614746]]  lables [1]
outputs [[0.3492804169654846, 0.31767863035202026, 0.3330410122871399]]  lables [1]
outputs [[0.3405058979988098, 0.31937041878700256, 0.3401236832141876]]  lables [1]
outputs [[0.3392418324947357, 0.3175341486930847, 0.34322404861450195]]  lables [1]
outputs [[0.3493811786174774, 0.32329511642456055, 0.3273237347602844]]  lables [0]
outputs [[0.34222179651260376, 0.3131502866744995, 0.3446279466152191]]  lables [0]
outputs [[0.3404361307621002, 0.3171845078468323, 0.3423793613910675]]  lables [1]
outputs [[0.3400181829929352, 0.31786373257637024, 0.34211811423301697]]  lables [0]
outputs [[0.3380632698535919, 0.3223053216934204, 0.33963146805763245]]  lables [0]
outputs [[0.34060603380203247, 0.3172219395637512, 0.3421720564365387]]  lables [1]
outputs [[0.33978143334388733, 0.31700536608695984, 0.34321320056915283]]  lables [1]
outputs [[0.33813148736953735, 0.32332518696784973, 0.3385432958602905]]  lables [1]
outputs [[0.34572991728782654, 0.3131409287452698, 0.3411291241645813]]  lables [0]
outputs [[0.3375643193721771, 0.3166654109954834, 0.3457702696323395]]  lables [2]
outputs [[0.3379230797290802, 0.3137127459049225, 0.34836411476135254]]  lables [2]
outputs [[0.337553471326828, 0.3086026608943939, 0.3538438081741333]]  lables [1]
outputs [[0.3452378809452057, 0.30977991223335266, 0.34498217701911926]]  lables [0]
outputs [[0.34256085753440857, 0.3106512725353241, 0.3467878997325897]]  lables [1]
outputs [[0.33105817437171936, 0.31428104639053345, 0.3546608090400696]]  lables [1]
outputs [[0.3398529291152954, 0.32180872559547424, 0.33833837509155273]]  lables [1]
outputs [[0.3450962007045746, 0.3219740092754364, 0.3329297602176666]]  lables [0]
outputs [[0.34159451723098755, 0.31676918268203735, 0.3416362702846527]]  lables [2]
outputs [[0.3367112874984741, 0.31958770751953125, 0.34370097517967224]]  lables [2]
outputs [[0.3413897156715393, 0.3206733167171478, 0.33793699741363525]]  lables [1]
outputs [[0.33677589893341064, 0.3234997093677521, 0.33972445130348206]]  lables [2]
outputs [[0.343148410320282, 0.30956748127937317, 0.34728413820266724]]  lables [2]
outputs [[0.3358444571495056, 0.3197900056838989, 0.34436559677124023]]  lables [1]
outputs [[0.3330335021018982, 0.31828489899635315, 0.34868159890174866]]  lables [1]
outputs [[0.3429677188396454, 0.3159472346305847, 0.3410850465297699]]  lables [2]
outputs [[0.3449631333351135, 0.3183276355266571, 0.33670923113822937]]  lables [0]
outputs [[0.34536871314048767, 0.3115168809890747, 0.3431144654750824]]  lables [0]
outputs [[0.34209442138671875, 0.31126290559768677, 0.3466426730155945]]  lables [0]
outputs [[0.3454147279262543, 0.3159712553024292, 0.3386140465736389]]  lables [1]
outputs [[0.34359994530677795, 0.3108956515789032, 0.34550443291664124]]  lables [2]
outputs [[0.3455619812011719, 0.31649476289749146, 0.33794331550598145]]  lables [1]
outputs [[0.34527915716171265, 0.31322014331817627, 0.3415006995201111]]  lables [0]
outputs [[0.3429431617259979, 0.31221893429756165, 0.3448379337787628]]  lables [2]
outputs [[0.33508625626564026, 0.32074233889579773, 0.3441713750362396]]  lables [2]
outputs [[0.337035208940506, 0.31803905963897705, 0.34492576122283936]]  lables [2]
outputs [[0.340786874294281, 0.32673534750938416, 0.33247771859169006]]  lables [0]
outputs [[0.3388518989086151, 0.3180907964706421, 0.3430572748184204]]  lables [1]
outputs [[0.34023746848106384, 0.3233020007610321, 0.33646059036254883]]  lables [1]
outputs [[0.3458365201950073, 0.3077082335948944, 0.34645524621009827]]  lables [1]
outputs [[0.3300130069255829, 0.3224552273750305, 0.3475317656993866]]  lables [2]
outputs [[0.3489632308483124, 0.33090826869010925, 0.320128470659256]]  lables [2]
outputs [[0.333716481924057, 0.32367148995399475, 0.34261202812194824]]  lables [1]
outputs [[0.3387407958507538, 0.317505419254303, 0.34375372529029846]]  lables [0]
outputs [[0.35292673110961914, 0.3256436586380005, 0.32142966985702515]]  lables [0]
outputs [[0.3433954417705536, 0.3228728771209717, 0.33373168110847473]]  lables [0]
outputs [[0.33936750888824463, 0.3080880343914032, 0.3525444567203522]]  lables [1]
outputs [[0.3339237868785858, 0.3197527229785919, 0.34632354974746704]]  lables [1]
outputs [[0.3415825068950653, 0.30440807342529297, 0.3540094494819641]]  lables [1]
outputs [[0.34023264050483704, 0.31923946738243103, 0.34052789211273193]]  lables [1]
outputs [[0.34109988808631897, 0.3155754804611206, 0.3433246314525604]]  lables [1]
outputs [[0.3408309817314148, 0.3202834129333496, 0.3388856053352356]]  lables [0]
outputs [[0.3463446795940399, 0.3182678818702698, 0.3353874385356903]]  lables [1]
outputs [[0.3376561105251312, 0.3164086639881134, 0.34593525528907776]]  lables [0]
outputs [[0.34308409690856934, 0.3189520835876465, 0.33796384930610657]]  lables [1]
outputs [[0.33859339356422424, 0.3183307945728302, 0.34307581186294556]]  lables [1]
outputs [[0.3362274765968323, 0.3216972351074219, 0.34207531809806824]]  lables [0]
outputs [[0.3409331142902374, 0.3189113438129425, 0.3401555120944977]]  lables [0]
outputs [[0.33747944235801697, 0.3193596601486206, 0.3431609570980072]]  lables [2]
outputs [[0.33521440625190735, 0.32393184304237366, 0.3408537209033966]]  lables [1]
outputs [[0.3416023552417755, 0.31614458560943604, 0.34225308895111084]]  lables [1]
outputs [[0.3389683961868286, 0.3185558021068573, 0.3424758017063141]]  lables [2]
outputs [[0.3378106951713562, 0.3164874315261841, 0.3457019031047821]]  lables [2]
outputs [[0.33497732877731323, 0.32739728689193726, 0.33762532472610474]]  lables [1]
outputs [[0.3491608798503876, 0.3237212300300598, 0.3271178603172302]]  lables [0]
outputs [[0.3419465124607086, 0.30512598156929016, 0.3529275357723236]]  lables [0]
outputs [[0.34665921330451965, 0.31676238775253296, 0.3365783393383026]]  lables [1]
outputs [[0.3491660952568054, 0.32820332050323486, 0.32263055443763733]]  lables [0]
outputs [[0.3308306932449341, 0.32285717129707336, 0.3463120758533478]]  lables [0]
outputs [[0.3437337279319763, 0.3121800422668457, 0.3440861999988556]]  lables [1]
outputs [[0.34682947397232056, 0.31733226776123047, 0.3358382284641266]]  lables [1]
outputs [[0.3433833420276642, 0.3091009557247162, 0.34751564264297485]]  lables [1]
outputs [[0.3406215012073517, 0.3202598989009857, 0.3391186594963074]]  lables [0]
outputs [[0.3297782838344574, 0.3208691477775574, 0.34935262799263]]  lables [1]
outputs [[0.33086907863616943, 0.3257058560848236, 0.34342509508132935]]  lables [2]
outputs [[0.34573110938072205, 0.3017675280570984, 0.35250139236450195]]  lables [1]
outputs [[0.3393397927284241, 0.3190215229988098, 0.3416386842727661]]  lables [1]
outputs [[0.3439948558807373, 0.32066255807876587, 0.3353426456451416]]  lables [2]
outputs [[0.3466495871543884, 0.31223392486572266, 0.3411165177822113]]  lables [1]
outputs [[0.3440804183483124, 0.3124946355819702, 0.343424916267395]]  lables [1]
outputs [[0.33826690912246704, 0.31846320629119873, 0.343269944190979]]  lables [2]
outputs [[0.34375298023223877, 0.325735479593277, 0.33051154017448425]]  lables [2]
outputs [[0.3411828875541687, 0.32611915469169617, 0.3326979875564575]]  lables [0]
outputs [[0.3470189869403839, 0.3235178589820862, 0.3294632136821747]]  lables [1]
outputs [[0.34617236256599426, 0.31161174178123474, 0.3422158658504486]]  lables [2]
outputs [[0.3406027853488922, 0.31622496247291565, 0.3431722819805145]]  lables [0]
outputs [[0.3484947085380554, 0.3193785548210144, 0.3321267068386078]]  lables [0]
outputs [[0.3444302976131439, 0.3145589530467987, 0.34101077914237976]]  lables [2]
outputs [[0.3370443284511566, 0.3243049085140228, 0.33865076303482056]]  lables [2]
outputs [[0.3365858197212219, 0.32446977496147156, 0.3389444351196289]]  lables [1]
outputs [[0.33597373962402344, 0.3153761327266693, 0.34865009784698486]]  lables [2]
outputs [[0.3435119092464447, 0.31812143325805664, 0.33836668729782104]]  lables [2]
outputs [[0.34742042422294617, 0.3162323534488678, 0.3363472819328308]]  lables [1]
outputs [[0.3357909619808197, 0.3215382993221283, 0.3426706790924072]]  lables [1]
outputs [[0.345431923866272, 0.31716182827949524, 0.3374062180519104]]  lables [2]
outputs [[0.3429819643497467, 0.314074844121933, 0.3429431617259979]]  lables [1]
outputs [[0.34578901529312134, 0.31710898876190186, 0.33710193634033203]]  lables [1]
outputs [[0.3391440510749817, 0.3152768909931183, 0.34557899832725525]]  lables [0]
outputs [[0.3388516902923584, 0.3100743591785431, 0.3510739505290985]]  lables [2]
outputs [[0.3375713527202606, 0.3201357126235962, 0.3422929644584656]]  lables [0]
outputs [[0.33926740288734436, 0.3291335701942444, 0.33159902691841125]]  lables [2]
outputs [[0.33748769760131836, 0.3231010437011719, 0.33941125869750977]]  lables [2]
outputs [[0.3369601368904114, 0.31552359461784363, 0.3475162386894226]]  lables [2]
outputs [[0.3423038423061371, 0.3183004856109619, 0.3393956422805786]]  lables [2]
outputs [[0.33733439445495605, 0.31417450308799744, 0.3484911322593689]]  lables [2]
outputs [[0.33504924178123474, 0.32204946875572205, 0.342901349067688]]  lables [2]
outputs [[0.34488287568092346, 0.31403863430023193, 0.3410784900188446]]  lables [0]
outputs [[0.33483168482780457, 0.3114556670188904, 0.35371267795562744]]  lables [0]
outputs [[0.3460772633552551, 0.31735682487487793, 0.33656594157218933]]  lables [1]
outputs [[0.3344247341156006, 0.3275126516819, 0.3380626440048218]]  lables [1]
outputs [[0.34172943234443665, 0.32546350359916687, 0.33280709385871887]]  lables [0]
outputs [[0.33884570002555847, 0.31844213604927063, 0.3427121639251709]]  lables [1]
outputs [[0.3405209183692932, 0.31730639934539795, 0.34217262268066406]]  lables [1]
outputs [[0.34249037504196167, 0.32406923174858093, 0.333440363407135]]  lables [1]
outputs [[0.34538447856903076, 0.31714802980422974, 0.3374674916267395]]  lables [0]
outputs [[0.3381921350955963, 0.31969964504241943, 0.34210819005966187]]  lables [0]
outputs [[0.33750081062316895, 0.30703771114349365, 0.355461448431015]]  lables [0]
outputs [[0.3462105393409729, 0.31855157017707825, 0.33523792028427124]]  lables [2]
outputs [[0.3391128182411194, 0.33096471428871155, 0.32992252707481384]]  lables [0]
outputs [[0.3376227915287018, 0.30457353591918945, 0.35780373215675354]]  lables [0]
outputs [[0.3361912667751312, 0.30727267265319824, 0.35653606057167053]]  lables [0]
outputs [[0.33898547291755676, 0.331508994102478, 0.32950547337532043]]  lables [0]
outputs [[0.33942869305610657, 0.3265562951564789, 0.3340150713920593]]  lables [2]
outputs [[0.3355711102485657, 0.30950185656547546, 0.35492706298828125]]  lables [2]
outputs [[0.340396910905838, 0.33263450860977173, 0.32696858048439026]]  lables [0]
outputs [[0.3394298553466797, 0.3365951180458069, 0.32397499680519104]]  lables [2]
outputs [[0.3394201397895813, 0.3148188591003418, 0.3457609713077545]]  lables [1]
outputs [[0.3383427858352661, 0.31371599435806274, 0.34794124960899353]]  lables [1]
outputs [[0.34778496623039246, 0.3215891718864441, 0.3306258022785187]]  lables [2]
outputs [[0.3453458547592163, 0.3255690336227417, 0.3290851414203644]]  lables [0]
outputs [[0.3466784358024597, 0.3136581778526306, 0.33966338634490967]]  lables [2]
outputs [[0.3418433666229248, 0.3226020634174347, 0.3355546295642853]]  lables [0]
outputs [[0.3361774682998657, 0.3070661127567291, 0.3567564785480499]]  lables [0]
outputs [[0.3417956233024597, 0.30712011456489563, 0.35108423233032227]]  lables [1]
outputs [[0.3458101451396942, 0.3195551931858063, 0.33463460206985474]]  lables [1]
outputs [[0.33403095602989197, 0.32336974143981934, 0.3425993025302887]]  lables [1]
outputs [[0.3356224000453949, 0.31601613759994507, 0.34836146235466003]]  lables [2]
outputs [[0.34227457642555237, 0.3205689489841461, 0.3371564447879791]]  lables [1]
outputs [[0.34042149782180786, 0.31835779547691345, 0.3412207067012787]]  lables [2]
outputs [[0.33634841442108154, 0.31205931305885315, 0.35159221291542053]]  lables [2]
outputs [[0.34108901023864746, 0.30416345596313477, 0.3547475337982178]]  lables [0]
outputs [[0.33974915742874146, 0.3180777430534363, 0.34217315912246704]]  lables [2]
outputs [[0.3422742784023285, 0.3231043219566345, 0.334621399641037]]  lables [2]
outputs [[0.34936410188674927, 0.3287290036678314, 0.3219068646430969]]  lables [2]
outputs [[0.34455162286758423, 0.31645309925079346, 0.3389953374862671]]  lables [0]
outputs [[0.3366221487522125, 0.3254026770591736, 0.3379751741886139]]  lables [0]
outputs [[0.337662935256958, 0.3138054609298706, 0.34853166341781616]]  lables [2]
outputs [[0.34723395109176636, 0.3188905119895935, 0.33387550711631775]]  lables [1]
outputs [[0.34152093529701233, 0.3174557089805603, 0.34102335572242737]]  lables [2]
outputs [[0.3329249918460846, 0.3182200789451599, 0.3488549292087555]]  lables [2]
outputs [[0.34338101744651794, 0.32785630226135254, 0.3287626802921295]]  lables [2]
outputs [[0.35459116101264954, 0.3266294598579407, 0.3187793493270874]]  lables [0]
outputs [[0.34469202160835266, 0.3236704468727112, 0.33163753151893616]]  lables [2]
outputs [[0.339308500289917, 0.3044073283672333, 0.3562842011451721]]  lables [1]
outputs [[0.3312329649925232, 0.3286941349506378, 0.340072900056839]]  lables [2]
outputs [[0.33997535705566406, 0.33046746253967285, 0.3295571506023407]]  lables [2]
outputs [[0.34525448083877563, 0.32936182618141174, 0.3253837525844574]]  lables [1]
outputs [[0.344404399394989, 0.3118978440761566, 0.34369775652885437]]  lables [2]
outputs [[0.34194064140319824, 0.3172968029975891, 0.34076249599456787]]  lables [0]
outputs [[0.33917948603630066, 0.31986668705940247, 0.34095385670661926]]  lables [2]
outputs [[0.3406059443950653, 0.32170242071151733, 0.3376915752887726]]  lables [1]
outputs [[0.3370814323425293, 0.3176892399787903, 0.34522929787635803]]  lables [0]
outputs [[0.33545252680778503, 0.32530471682548523, 0.33924275636672974]]  lables [1]
outputs [[0.3307197391986847, 0.32254558801651, 0.3467346727848053]]  lables [1]
outputs [[0.3346923887729645, 0.32076671719551086, 0.34454092383384705]]  lables [2]
outputs [[0.3397373855113983, 0.3224306106567383, 0.3378320038318634]]  lables [1]
outputs [[0.3428453803062439, 0.3132564425468445, 0.3438981771469116]]  lables [2]
outputs [[0.33858776092529297, 0.30958878993988037, 0.35182347893714905]]  lables [1]
outputs [[0.338436096906662, 0.31408020853996277, 0.34748372435569763]]  lables [2]
outputs [[0.34178659319877625, 0.31689250469207764, 0.3413209021091461]]  lables [2]
outputs [[0.3375348448753357, 0.31631147861480713, 0.3461536467075348]]  lables [0]
outputs [[0.34180137515068054, 0.3160916268825531, 0.34210702776908875]]  lables [0]
outputs [[0.33907631039619446, 0.3156842291355133, 0.34523943066596985]]  lables [2]
outputs [[0.3417467474937439, 0.3240274488925934, 0.3342258036136627]]  lables [2]
outputs [[0.3448394238948822, 0.3205221891403198, 0.334638386964798]]  lables [2]
outputs [[0.34337303042411804, 0.31177961826324463, 0.34484735131263733]]  lables [1]
outputs [[0.3345111906528473, 0.32613998651504517, 0.33934879302978516]]  lables [2]
outputs [[0.33863234519958496, 0.32354629039764404, 0.337821364402771]]  lables [0]
outputs [[0.34231480956077576, 0.3064645528793335, 0.35122066736221313]]  lables [2]
outputs [[0.33705607056617737, 0.31005382537841797, 0.35289010405540466]]  lables [0]
outputs [[0.33887773752212524, 0.31930458545684814, 0.3418176770210266]]  lables [2]
outputs [[0.3452219069004059, 0.3110942244529724, 0.34368380904197693]]  lables [1]
outputs [[0.3355258107185364, 0.3155018389225006, 0.348972350358963]]  lables [2]
outputs [[0.34033671021461487, 0.3194315433502197, 0.3402317762374878]]  lables [1]
outputs [[0.33747830986976624, 0.31715548038482666, 0.3453662097454071]]  lables [1]
outputs [[0.33301854133605957, 0.31177976727485657, 0.3552016317844391]]  lables [2]
outputs [[0.33935418725013733, 0.31307879090309143, 0.34756702184677124]]  lables [0]
outputs [[0.33834561705589294, 0.32613733410835266, 0.3355170786380768]]  lables [2]
outputs [[0.3480106294155121, 0.33242911100387573, 0.3195602297782898]]  lables [0]
outputs [[0.34208932518959045, 0.31418049335479736, 0.3437301516532898]]  lables [0]
outputs [[0.33741721510887146, 0.32366323471069336, 0.3389195203781128]]  lables [2]
outputs [[0.3382154703140259, 0.3090781569480896, 0.3527063727378845]]  lables [2]
outputs [[0.3407473564147949, 0.30915114283561707, 0.3501014709472656]]  lables [1]
outputs [[0.339561402797699, 0.3162968158721924, 0.34414181113243103]]  lables [2]
outputs [[0.3418334126472473, 0.3163791000843048, 0.3417874872684479]]  lables [0]
outputs [[0.3398186266422272, 0.3137906789779663, 0.3463906943798065]]  lables [1]
outputs [[0.33658644556999207, 0.3190454840660095, 0.3443681299686432]]  lables [2]
outputs [[0.3388446271419525, 0.3181624412536621, 0.3429929316043854]]  lables [2]
outputs [[0.34056973457336426, 0.3133208155632019, 0.34610942006111145]]  lables [1]
outputs [[0.34008699655532837, 0.30984917283058167, 0.3500638008117676]]  lables [2]
outputs [[0.34524697065353394, 0.3099042475223541, 0.34484872221946716]]  lables [1]
outputs [[0.3341309130191803, 0.32036009430885315, 0.34550899267196655]]  lables [2]
outputs [[0.3471281826496124, 0.32144343852996826, 0.3314283490180969]]  lables [2]
outputs [[0.3380277156829834, 0.3063616156578064, 0.355610728263855]]  lables [0]
outputs [[0.3408229947090149, 0.3155524730682373, 0.3436245024204254]]  lables [0]
outputs [[0.3375367820262909, 0.32236000895500183, 0.3401031792163849]]  lables [0]
outputs [[0.33582577109336853, 0.3085617125034332, 0.35561251640319824]]  lables [2]
outputs [[0.3321765661239624, 0.30862388014793396, 0.35919952392578125]]  lables [1]
outputs [[0.3419269323348999, 0.32026973366737366, 0.33780333399772644]]  lables [1]
Train - epoch: 0 batch: 37 loss: 1.1117199659347534
outputs [[0.33865639567375183, 0.3174131512641907, 0.3439304828643799]]  lables [0]
outputs [[0.3370063900947571, 0.32825013995170593, 0.3347434401512146]]  lables [1]
outputs [[0.3468160331249237, 0.31617242097854614, 0.33701157569885254]]  lables [0]
outputs [[0.3408026099205017, 0.31571856141090393, 0.34347885847091675]]  lables [1]
outputs [[0.3449192941188812, 0.3242267370223999, 0.33085402846336365]]  lables [1]
outputs [[0.3345772624015808, 0.32334208488464355, 0.34208059310913086]]  lables [0]
outputs [[0.3370676338672638, 0.3176030218601227, 0.3453293442726135]]  lables [0]
outputs [[0.34544405341148376, 0.32632550597190857, 0.32823044061660767]]  lables [2]
outputs [[0.33934229612350464, 0.32066604495048523, 0.3399916887283325]]  lables [2]
outputs [[0.33526837825775146, 0.312202125787735, 0.35252949595451355]]  lables [0]
outputs [[0.3381500840187073, 0.318938672542572, 0.3429112732410431]]  lables [2]
outputs [[0.3408965766429901, 0.316592276096344, 0.3425111174583435]]  lables [1]
outputs [[0.343447208404541, 0.30835193395614624, 0.34820085763931274]]  lables [0]
outputs [[0.3466070294380188, 0.31316766142845154, 0.34022530913352966]]  lables [2]
outputs [[0.33982306718826294, 0.31330159306526184, 0.34687530994415283]]  lables [0]
outputs [[0.3402332365512848, 0.3126964569091797, 0.3470703065395355]]  lables [0]
outputs [[0.3430011570453644, 0.32475745677948, 0.332241415977478]]  lables [0]
outputs [[0.33674150705337524, 0.320735901594162, 0.3425225615501404]]  lables [2]
outputs [[0.34739625453948975, 0.31436076760292053, 0.3382430374622345]]  lables [2]
outputs [[0.3353676199913025, 0.3263172209262848, 0.3383151888847351]]  lables [2]
outputs [[0.34802892804145813, 0.3129505217075348, 0.33902058005332947]]  lables [2]
outputs [[0.3415220379829407, 0.3164072334766388, 0.3420707583427429]]  lables [1]
outputs [[0.3349370062351227, 0.3237305283546448, 0.34133243560791016]]  lables [2]
outputs [[0.33779680728912354, 0.32337313890457153, 0.3388301134109497]]  lables [0]
outputs [[0.33928996324539185, 0.31014809012413025, 0.35056188702583313]]  lables [1]
outputs [[0.33682799339294434, 0.3259011209011078, 0.3372708857059479]]  lables [2]
outputs [[0.33788180351257324, 0.3182506561279297, 0.3438675105571747]]  lables [1]
outputs [[0.3412225842475891, 0.31762588024139404, 0.34115153551101685]]  lables [0]
outputs [[0.3383939862251282, 0.31630316376686096, 0.3453028202056885]]  lables [1]
outputs [[0.3406699299812317, 0.31511390209198, 0.3442161977291107]]  lables [2]
outputs [[0.34005478024482727, 0.31126341223716736, 0.34868180751800537]]  lables [1]
outputs [[0.345546692609787, 0.3253636658191681, 0.32908961176872253]]  lables [2]
outputs [[0.35125768184661865, 0.3197591304779053, 0.3289831876754761]]  lables [2]
outputs [[0.34295937418937683, 0.32659050822257996, 0.3304500877857208]]  lables [1]
